Patron,Salida_RNA,Salida_Esperada,Correcto
0,nv,nv,SI
1,nv,nv,SI
2,nv,nv,SI
3,nv,nv,SI
4,bkl,nv,NO
5,nv,nv,SI
6,nv,nv,SI
7,nv,nv,SI
8,nv,nv,SI
9,nv,nv,SI
10,nv,bkl,NO
11,nv,nv,SI
12,nv,bkl,NO
13,nv,nv,SI
14,nv,nv,SI
15,mel,nv,NO
16,nv,nv,SI
17,nv,bkl,NO
18,nv,nv,SI
19,mel,nv,NO
20,nv,nv,SI
21,bcc,bkl,NO
22,nv,nv,SI
23,mel,bkl,NO
24,nv,nv,SI
25,nv,nv,SI
26,vasc,nv,NO
27,nv,bkl,NO
28,nv,nv,SI
29,bkl,bkl,SI
30,nv,nv,SI
31,mel,bkl,NO
32,vasc,bcc,NO
33,mel,mel,SI
34,nv,mel,NO
35,mel,df,NO
36,nv,nv,SI
37,nv,nv,SI
38,nv,mel,NO
39,nv,nv,SI
40,nv,bkl,NO
41,nv,nv,SI
42,nv,nv,SI
43,bkl,bcc,NO
44,nv,nv,SI
45,nv,nv,SI
46,nv,nv,SI
47,nv,nv,SI
48,nv,nv,SI
49,akiec,bcc,NO
50,nv,mel,NO
51,bcc,bcc,SI
52,nv,nv,SI
53,nv,nv,SI
54,nv,nv,SI
55,nv,bkl,NO
56,bkl,bkl,SI
57,nv,nv,SI
58,nv,nv,SI
59,nv,nv,SI
60,nv,nv,SI
61,nv,nv,SI
62,nv,vasc,NO
63,nv,nv,SI
64,nv,nv,SI
65,nv,nv,SI
66,nv,nv,SI
67,mel,mel,SI
68,nv,nv,SI
69,nv,df,NO
70,nv,nv,SI
71,nv,nv,SI
72,bkl,nv,NO
73,nv,nv,SI
74,nv,bkl,NO
75,nv,nv,SI
76,nv,nv,SI
77,nv,nv,SI
78,nv,nv,SI
79,nv,nv,SI
80,mel,mel,SI
81,akiec,bcc,NO
82,nv,nv,SI
83,mel,bkl,NO
84,bkl,bkl,SI
85,bcc,bcc,SI
86,mel,nv,NO
87,nv,nv,SI
88,mel,nv,NO
89,df,bkl,NO
90,bkl,akiec,NO
91,nv,bkl,NO
92,nv,nv,SI
93,nv,nv,SI
94,nv,nv,SI
95,bcc,akiec,NO
96,bkl,nv,NO
97,mel,nv,NO
98,nv,mel,NO
99,nv,mel,NO
100,nv,nv,SI
101,bcc,nv,NO
102,bkl,bkl,SI
103,nv,bcc,NO
104,nv,nv,SI
105,nv,nv,SI
106,mel,nv,NO
107,bcc,akiec,NO
108,nv,nv,SI
109,nv,nv,SI
110,nv,nv,SI
111,bkl,nv,NO
112,nv,nv,SI
113,bkl,bkl,SI
114,nv,nv,SI
115,nv,bcc,NO
116,nv,df,NO
117,nv,nv,SI
118,nv,nv,SI
119,nv,mel,NO
120,nv,nv,SI
121,nv,nv,SI
122,bcc,akiec,NO
123,nv,nv,SI
124,nv,nv,SI
125,nv,bkl,NO
126,df,df,SI
127,nv,nv,SI
128,nv,nv,SI
129,nv,nv,SI
130,nv,nv,SI
131,mel,nv,NO
132,nv,nv,SI
133,nv,nv,SI
134,nv,nv,SI
135,nv,nv,SI
136,nv,nv,SI
137,akiec,bcc,NO
138,bkl,bkl,SI
139,nv,nv,SI
140,nv,mel,NO
141,nv,akiec,NO
142,nv,nv,SI
143,bkl,bkl,SI
144,nv,nv,SI
145,nv,nv,SI
146,nv,nv,SI
147,nv,nv,SI
148,vasc,nv,NO
149,nv,nv,SI
150,nv,nv,SI
151,nv,nv,SI
152,bkl,bkl,SI
153,bcc,bcc,SI
154,nv,mel,NO
155,nv,nv,SI
156,nv,nv,SI
157,nv,nv,SI
158,nv,nv,SI
159,nv,nv,SI
