Patron,Salida_RNA,Salida_Esperada,Correcto
0,nv,nv,SI
1,akiec,nv,NO
2,nv,nv,SI
3,df,nv,NO
4,bcc,nv,NO
5,nv,nv,SI
6,df,nv,NO
7,df,nv,NO
8,df,nv,NO
9,bcc,nv,NO
10,akiec,bkl,NO
11,nv,nv,SI
12,nv,bkl,NO
13,nv,nv,SI
14,nv,nv,SI
15,mel,nv,NO
16,mel,nv,NO
17,vasc,bkl,NO
18,mel,nv,NO
19,mel,nv,NO
20,nv,nv,SI
21,akiec,bkl,NO
22,nv,nv,SI
23,akiec,bkl,NO
24,nv,nv,SI
25,bcc,nv,NO
26,nv,nv,SI
27,mel,bkl,NO
28,nv,nv,SI
29,akiec,bkl,NO
30,bcc,nv,NO
31,mel,bkl,NO
32,bcc,bcc,SI
33,mel,mel,SI
34,akiec,mel,NO
35,akiec,df,NO
36,vasc,nv,NO
37,bcc,nv,NO
38,nv,mel,NO
39,nv,nv,SI
40,bkl,bkl,SI
41,nv,nv,SI
42,nv,nv,SI
43,bcc,bcc,SI
44,mel,nv,NO
45,bcc,nv,NO
46,nv,nv,SI
47,nv,nv,SI
48,nv,nv,SI
49,akiec,bcc,NO
50,bkl,mel,NO
51,bcc,bcc,SI
52,nv,nv,SI
53,nv,nv,SI
54,bkl,nv,NO
55,akiec,bkl,NO
56,mel,bkl,NO
57,nv,nv,SI
58,bkl,nv,NO
59,bcc,nv,NO
60,akiec,nv,NO
61,nv,nv,SI
62,nv,vasc,NO
63,bcc,nv,NO
64,nv,nv,SI
65,mel,nv,NO
66,mel,nv,NO
67,bkl,mel,NO
68,bcc,nv,NO
69,akiec,df,NO
70,vasc,nv,NO
71,vasc,nv,NO
72,bkl,nv,NO
73,df,nv,NO
74,vasc,bkl,NO
75,nv,nv,SI
76,bcc,nv,NO
77,bcc,nv,NO
78,nv,nv,SI
79,mel,nv,NO
80,mel,mel,SI
81,akiec,bcc,NO
82,bcc,nv,NO
83,nv,bkl,NO
84,akiec,bkl,NO
85,bcc,bcc,SI
86,mel,nv,NO
87,akiec,nv,NO
88,mel,nv,NO
89,bkl,bkl,SI
90,akiec,akiec,SI
91,bcc,bkl,NO
92,df,nv,NO
93,mel,nv,NO
94,vasc,nv,NO
95,mel,akiec,NO
96,bkl,nv,NO
97,mel,nv,NO
98,nv,mel,NO
99,bcc,mel,NO
100,bcc,nv,NO
101,mel,nv,NO
102,akiec,bkl,NO
103,nv,bcc,NO
104,nv,nv,SI
105,akiec,nv,NO
106,mel,nv,NO
107,akiec,akiec,SI
108,nv,nv,SI
109,mel,nv,NO
110,vasc,nv,NO
111,akiec,nv,NO
112,nv,nv,SI
113,akiec,bkl,NO
114,mel,nv,NO
115,bkl,bcc,NO
116,akiec,df,NO
117,nv,nv,SI
118,akiec,nv,NO
119,mel,mel,SI
120,nv,nv,SI
121,nv,nv,SI
122,akiec,akiec,SI
123,mel,nv,NO
124,nv,nv,SI
125,nv,bkl,NO
126,df,df,SI
127,nv,nv,SI
128,nv,nv,SI
129,mel,nv,NO
130,nv,nv,SI
131,vasc,nv,NO
132,nv,nv,SI
133,bcc,nv,NO
134,bcc,nv,NO
135,nv,nv,SI
136,nv,nv,SI
137,akiec,bcc,NO
138,bcc,bkl,NO
139,mel,nv,NO
140,mel,mel,SI
141,akiec,akiec,SI
142,nv,nv,SI
143,akiec,bkl,NO
144,nv,nv,SI
145,nv,nv,SI
146,nv,nv,SI
147,nv,nv,SI
148,mel,nv,NO
149,vasc,nv,NO
150,nv,nv,SI
151,nv,nv,SI
152,akiec,bkl,NO
153,bcc,bcc,SI
154,akiec,mel,NO
155,nv,nv,SI
156,nv,nv,SI
157,bcc,nv,NO
158,nv,nv,SI
159,nv,nv,SI
160,nv,nv,SI
161,akiec,akiec,SI
162,nv,nv,SI
163,df,nv,NO
164,bcc,nv,NO
165,mel,nv,NO
166,vasc,nv,NO
167,bcc,nv,NO
168,nv,nv,SI
169,bcc,nv,NO
170,mel,akiec,NO
171,nv,nv,SI
172,mel,mel,SI
173,bcc,nv,NO
174,bcc,nv,NO
175,nv,nv,SI
176,akiec,akiec,SI
177,mel,mel,SI
178,akiec,bkl,NO
179,bcc,nv,NO
180,nv,nv,SI
181,nv,nv,SI
182,bcc,akiec,NO
183,akiec,bkl,NO
184,mel,nv,NO
185,mel,nv,NO
186,mel,nv,NO
187,akiec,bcc,NO
188,vasc,bkl,NO
189,bkl,nv,NO
190,nv,nv,SI
191,nv,nv,SI
192,mel,nv,NO
193,bcc,bcc,SI
194,nv,nv,SI
195,vasc,akiec,NO
196,nv,nv,SI
197,bkl,bcc,NO
198,df,bkl,NO
199,mel,nv,NO
200,mel,mel,SI
201,nv,nv,SI
202,nv,nv,SI
203,akiec,akiec,SI
204,bcc,nv,NO
205,nv,nv,SI
206,akiec,nv,NO
207,df,nv,NO
208,nv,nv,SI
209,nv,nv,SI
210,nv,nv,SI
211,nv,nv,SI
212,vasc,nv,NO
213,bcc,nv,NO
214,akiec,bcc,NO
215,mel,nv,NO
216,vasc,nv,NO
217,bkl,bkl,SI
218,nv,nv,SI
219,mel,mel,SI
220,bcc,nv,NO
221,nv,nv,SI
222,nv,nv,SI
223,mel,nv,NO
224,vasc,nv,NO
225,nv,nv,SI
226,vasc,nv,NO
227,nv,nv,SI
228,mel,mel,SI
229,nv,nv,SI
230,mel,nv,NO
231,bcc,nv,NO
232,vasc,nv,NO
233,mel,nv,NO
234,mel,nv,NO
235,mel,nv,NO
236,akiec,bkl,NO
237,akiec,nv,NO
238,bcc,bcc,SI
239,bkl,mel,NO
240,nv,nv,SI
241,bkl,mel,NO
242,vasc,nv,NO
243,nv,nv,SI
244,bcc,nv,NO
245,nv,nv,SI
246,mel,nv,NO
247,mel,nv,NO
248,nv,nv,SI
249,df,bkl,NO
250,nv,nv,SI
251,bkl,bkl,SI
252,nv,nv,SI
253,bcc,nv,NO
254,nv,mel,NO
255,mel,nv,NO
256,bcc,bkl,NO
257,vasc,nv,NO
258,mel,mel,SI
259,akiec,bkl,NO
260,akiec,nv,NO
261,nv,nv,SI
262,nv,nv,SI
263,bcc,nv,NO
264,nv,nv,SI
265,akiec,bcc,NO
266,nv,nv,SI
267,mel,nv,NO
268,mel,nv,NO
269,akiec,bkl,NO
270,nv,nv,SI
271,nv,nv,SI
272,bcc,nv,NO
273,bcc,nv,NO
274,nv,nv,SI
275,bkl,nv,NO
276,nv,nv,SI
277,bkl,bkl,SI
278,nv,nv,SI
279,nv,vasc,NO
280,nv,nv,SI
281,bcc,nv,NO
282,akiec,akiec,SI
283,mel,mel,SI
284,akiec,bcc,NO
285,mel,bkl,NO
286,nv,nv,SI
287,nv,nv,SI
288,bkl,nv,NO
289,akiec,mel,NO
290,bcc,nv,NO
291,bcc,bcc,SI
292,df,df,SI
293,vasc,nv,NO
294,akiec,df,NO
295,vasc,nv,NO
296,nv,nv,SI
297,bkl,nv,NO
298,mel,nv,NO
299,vasc,nv,NO
300,nv,nv,SI
301,akiec,nv,NO
302,nv,nv,SI
303,vasc,nv,NO
304,nv,nv,SI
305,nv,nv,SI
306,df,nv,NO
307,nv,nv,SI
308,akiec,nv,NO
309,akiec,akiec,SI
310,nv,nv,SI
311,bcc,nv,NO
312,bcc,bcc,SI
313,bcc,bkl,NO
314,bkl,mel,NO
315,vasc,mel,NO
316,nv,bkl,NO
317,mel,nv,NO
318,akiec,bcc,NO
319,mel,mel,SI
320,bkl,nv,NO
321,nv,nv,SI
322,bcc,bcc,SI
323,bcc,nv,NO
324,mel,mel,SI
325,nv,nv,SI
326,nv,nv,SI
327,bcc,nv,NO
328,mel,nv,NO
329,nv,nv,SI
330,nv,nv,SI
331,bcc,nv,NO
332,vasc,nv,NO
333,akiec,bkl,NO
334,bcc,nv,NO
335,akiec,akiec,SI
336,mel,nv,NO
337,nv,nv,SI
338,df,nv,NO
339,bkl,nv,NO
340,nv,nv,SI
341,akiec,nv,NO
342,df,df,SI
343,mel,nv,NO
344,mel,nv,NO
345,nv,vasc,NO
346,akiec,nv,NO
347,akiec,nv,NO
348,akiec,bcc,NO
349,nv,nv,SI
350,mel,mel,SI
351,mel,bkl,NO
352,akiec,bkl,NO
353,bkl,bkl,SI
354,mel,mel,SI
355,nv,bkl,NO
356,vasc,nv,NO
357,bcc,bkl,NO
358,vasc,mel,NO
359,nv,nv,SI
360,vasc,nv,NO
361,nv,nv,SI
362,bcc,bkl,NO
363,mel,nv,NO
364,nv,nv,SI
365,akiec,bcc,NO
366,nv,nv,SI
367,nv,nv,SI
368,nv,nv,SI
369,vasc,nv,NO
370,mel,nv,NO
371,nv,mel,NO
372,mel,nv,NO
373,bcc,bkl,NO
374,bkl,nv,NO
375,nv,nv,SI
376,mel,mel,SI
377,bkl,nv,NO
378,nv,bkl,NO
379,nv,nv,SI
380,nv,bcc,NO
381,nv,nv,SI
382,vasc,bkl,NO
383,akiec,akiec,SI
384,nv,nv,SI
385,bcc,mel,NO
386,nv,nv,SI
387,mel,nv,NO
388,nv,nv,SI
389,nv,bkl,NO
390,nv,nv,SI
391,akiec,akiec,SI
392,nv,nv,SI
393,bkl,bkl,SI
394,nv,mel,NO
395,nv,nv,SI
396,df,nv,NO
397,mel,mel,SI
398,nv,mel,NO
399,nv,mel,NO
400,bcc,bcc,SI
401,vasc,nv,NO
402,bcc,nv,NO
403,nv,nv,SI
404,bkl,mel,NO
405,nv,nv,SI
406,df,nv,NO
407,nv,nv,SI
408,nv,nv,SI
409,vasc,bkl,NO
410,bcc,bkl,NO
411,nv,nv,SI
412,bcc,nv,NO
413,mel,nv,NO
414,akiec,nv,NO
415,akiec,mel,NO
416,bcc,nv,NO
417,akiec,bcc,NO
418,akiec,nv,NO
419,akiec,akiec,SI
420,bcc,nv,NO
421,bcc,nv,NO
422,bcc,nv,NO
423,mel,mel,SI
424,bcc,nv,NO
